Rodada,ID,Nome,Clube,Posição,Mandante_Visitante,Adversário,Pontuação,Status_ID,FD,FS,CA,FC,DS,FF,SG,A,G,I,DE,GS,V,PC,DP,CV,FT,PP,PS,GC
2,97341,Rogério Ceni,BAH,Técnico,visitante,SAN,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,97460,João Victor,MIR,Zagueiro,mandante,FOR,1.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,97642,Félix Torres,COR,Zagueiro,mandante,VAS,8.8,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,97653,Murilo,PAL,Zagueiro,visitante,SPT,-1.1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,97810,Erick,VIT,Atacante,mandante,FLA,8.5,0,0,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,97867,Léo Ortiz,FLA,Zagueiro,visitante,VIT,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,97868,Iago,BAH,Lateral,visitante,SAN,0.2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,97899,Matheus Bahia,CEA,Lateral,mandante,GRE,9.4,0,1,0,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,97900,Vitão,INT,Zagueiro,mandante,CRU,9.5,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,98022,Erick,BAH,Meia,visitante,SAN,19.6,0,0,1,1,5,6,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2,98225,Pedro Raul,CEA,Atacante,mandante,GRE,13.6,0,0,3,0,1,0,2,0,0,1,2,0,0,0,0,0,0,1,0,0,0
2,98517,Jean Lucas,BAH,Meia,visitante,SAN,-0.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
